Column1,Total Broadband subscribers,Broadband type,Subscribers,Date,
,12131000,Other,145000,Jun 2013,
,12131000,Cable,934000,Jun 2013,
,12131000,Fibre,115000,Jun 2013,
,12131000,DSL,4787000,Jun 2013,
,12131000,Mobile wireless,6150000,Jun 2013,
,12192000,Other,142000,Dec 2013,
,12192000,Cable,944000,Dec 2013,
,12192000,Fibre,167000,Dec 2013,
,12192000,DSL,4898000,Dec 2013,
,12192000,Mobile wireless,6040000,Dec 2013,
,12300000,Other,132000,Jun 2014,
,12300000,Cable,946000,Jun 2014,
,12300000,Fibre,203000,Jun 2014,
,12300000,DSL,5065000,Jun 2014,
,12300000,Mobile wireless,5954000,Jun 2014,
,12532000,Other,147000,Dec 2014,
,12532000,Cable,966000,Dec 2014,
,12532000,Fibre,324000,Dec 2014,
,12532000,DSL,5099000,Dec 2014,
,12532000,Mobile wireless,5996000,Dec 2014,
,12667000,Other,141000,Jun 2015,
,12667000,Cable,996000,Jun 2015,
,12667000,Fibre,420000,Jun 2015,
,12667000,DSL,5106000,Jun 2015,
,12667000,Mobile wireless,6004000,Jun 2015,
,12853000,Other,149000,Dec 2015,
,12853000,Cable,1004000,Dec 2015,
,12853000,Fibre,645000,Dec 2015,
,12853000,DSL,5030000,Dec 2015,
,12853000,Mobile wireless,6025000,Dec 2015,
,13207000,Other,146000,Jun 2016,
,13207000,Cable,1029000,Jun 2016,
,13207000,Fibre,960000,Jun 2016,
,13207000,DSL,5032000,Jun 2016,
,13207000,Mobile wireless,6039000,Jun 2016,
,13461000,Other,179000,Dec 2016,
,13461000,Cable,1048000,Dec 2016,
,13461000,Fibre,1431000,Dec 2016,
,13461000,DSL,4716000,Dec 2016,
,13461000,Mobile wireless,6087000,Dec 2016,
,13748000,Other,254000,Jun 2017,
,13748000,Cable,1010000,Jun 2017,
,13748000,Fibre,2144000,Jun 2017,
,13748000,DSL,4233000,Jun 2017,
,13748000,Mobile wireless,6107000,Jun 2017,
,14209000,Other,320000,Dec 2017,
,14209000,Cable,924000,Dec 2017,
,14209000,Fibre,2973000,Dec 2017,
,14209000,DSL,3706000,Dec 2017,
,14209000,Mobile wireless,6286000,Dec 2017,
,14720000,Other,350000,Jun 2018,
,14720000,Cable,937000,Jun 2018,
,14720000,Fibre,3640000,Jun 2018,
,14720000,DSL,3232000,Jun 2018,
,14720000,Mobile wireless,6561000,Jun 2018,
