Obstacles to Access,Limits on Content,Violations of User Rights,Total,Country,Cat1,Cat2,Cat3
25,34,37,96,Iceland,Obstacles to Access,Limits on Content,Violations of User Rights
25,32,37,94,Estonia,Obstacles to Access,Limits on Content,Violations of User Rights
23,32,32,87,Canada,Obstacles to Access,Limits on Content,Violations of User Rights
20,33,34,87,Costa Rica,Obstacles to Access,Limits on Content,Violations of User Rights
24,31,25,80,Taiwan,Obstacles to Access,Limits on Content,Violations of User Rights
22,29,28,79,Germany,Obstacles to Access,Limits on Content,Violations of User Rights
23,30,25,78,France,Obstacles to Access,Limits on Content,Violations of User Rights
23,30,25,78,United Kingdom,Obstacles to Access,Limits on Content,Violations of User Rights
19,31,27,77,Georgia,Obstacles to Access,Limits on Content,Violations of User Rights
21,30,25,76,Italy,Obstacles to Access,Limits on Content,Violations of User Rights
21,29,26,76,Japan,Obstacles to Access,Limits on Content,Violations of User Rights
23,27,25,75,Australia,Obstacles to Access,Limits on Content,Violations of User Rights
9,12,7,28,Uzbekistan,Obstacles to Access,Limits on Content,Violations of User Rights
6,12,10,28,Vene- zuela,Obstacles to Access,Limits on Content,Violations of User Rights
4,12,11,27,Ethiopia,Obstacles to Access,Limits on Content,Violations of User Rights
12,9,6,27,Emirates,Obstacles to Access,Limits on Content,Violations of User Rights
12,10,4,26,Egypt,Obstacles to Access,Limits on Content,Violations of User Rights
5,13,7,25,Pakistan,Obstacles to Access,Limits on Content,Violations of User Rights
12,8,4,24,Saudi Arabia,Obstacles to Access,Limits on Content,Violations of User Rights
12,6,4,22,Vietnam,Obstacles to Access,Limits on Content,Violations of User Rights
5,9,7,21,Cuba,Obstacles to Access,Limits on Content,Violations of User Rights
4,7,6,17,Myanmar,Obstacles to Access,Limits on Content,Violations of User Rights
8,5,3,16,Iran,Obstacles to Access,Limits on Content,Violations of User Rights
8,2,0,10,China,Obstacles to Access,Limits on Content,Violations of User Rights
