Country,Continent,Mobile_speed,Broadband_speed
Australia,Oceania,100,77.88
Canada,North America,59.6,175.61
South Korea,Asia,59,241.58
Netherlands,Europe,54.8,152.94
Japan,Asia,51.4,167.18
Norway,Europe,48.8,159.99
Singapore,Asia,47.5,245.5
Switzerland,Europe,42.8,188.69
Belgium,Europe,37.6,107.12
Croatia,Europe,36.6,57.3
New Zealand,Oceania,35.2,153.88
Austria,Europe,34.6,117.31
Denmark,Europe,33.5,210.71
Lithuania,Europe,33.3,132.67
Czech Republic,Europe,32.7,85.89
United Arab Emirates,Asia,31.8,151.09
Hungary,Europe,31.7,193.8
Qatar,Asia,31.3,105.2
North Macedonia,Europe,30,37.2
Finland,Europe,29.8,119.32
Sweden,Europe,29.7,169
Germany,Europe,28.7,120.93
France,Europe,28.6,192.25
United States,North America,26.7,191.97
Portugal,Europe,26.3,150.39
Spain,Europe,26.2,186.4
Slovenia,Europe,26,108.47
Albania,Europe,25.8,45.25
Slovakia,Europe,25.3,101.28
Oman,Asia,25.2,57.53
Serbia,Europe,25.2,77.88
Italy,Europe,24.3,90.93
Greece,Europe,23.7,36.73
United Kingdom,Europe,22.9,92.63
Hong Kong,Asia,21.8,240.83
Romania,Europe,21.4,214.33
Saudi Arabia,Asia,21.4,90.24
Poland,Europe,20.7,130.98
Vietnam,Asia,20.6,66.38
Uruguay,South America,20.3,53.88
Turkey,Asia,20,62.52
Mexico,North America,19.6,48.35
Ireland,Europe,19.2,112.81
South Africa,Africa,19.1,43.91
Argentina,South America,17.4,51.51
Laos,Asia,17.1,43.98
Kuwait,Asia,16.6,130.66
Bahrain,Asia,16.4,58.53
Brazil,South America,15.3,90.3
Israel,Asia,15.2,147.36
Russia,Asia,14.5,87.01
Costa Rica,North America,14,47.93
Ukraine,Europe,14,67.52
Chile,South America,13.7,176.48
Colombia,South America,13.4,53.73
Jordan,Asia,12.5,67.35
Peru,South America,12.1,51.81
Kazakhstan,Asia,11.9,56.12
Malaysia,Asia,11,103.34
Belarus,Europe,10.8,68.73
Paraguay,South America,10.8,56.89
Egypt,Africa,10.7,39.66
Kyrgyzstan,Asia,10.5,48.12
Thailand,Asia,9.2,206.81
Senegal,Africa,9.1,35.32
Philippines,Asia,8.5,49.31
Panama,North America,8.4,125.25
India,Asia,8.1,55.72
Ivory Coast,Africa,7.4,49.33
Bangladesh,Asia,6.8,36.02
Ghana,Africa,6.8,51.93
Uzbekistan,Asia,6.2,39.2
