Column1,Country,Price,info
,United Arab Emirates,153.88
,Qatar,138.33
,Oman,118.39
,Honduras,111.71
,Saudi Arabia,108.9
,United States,104.26
,Iceland,99.09
,Puerto Rico,93.73
,Canada,92.61
,Switzerland,82.97
,Bahrain,82.71
,Bolivia,82.13
,Lebanon,81.59
,Dominican Republic,79.18
,Guatemala,78.16
,Australia,76.52,$76.52
,Norway,75.97
,Palestine,75.91
,Trinidad And Tobago,75.58
,Ireland,75.47
,Egypt,23.78
,Albania,23.19
,Latvia,23.08
,North Macedonia,22.91
,Belarus,20.79
,Nepal,20.38
,China,19.85
,Lithuania,18.91
,Poland,17.65
,Hungary,17.62
,Bulgaria,16.56
,Vietnam,16.19
,Kazakhstan,15.99
,Sri Lanka,13.88
,India,13.87
,Russia,13.55
,Moldova,13.53
,Turkey,12.45
,Romania,11.61
,Ukraine,6.93
