Column1,Date,Category,Value
,Jun 2013,Mobile subscribers,19645000
,Jun 2013,Mobile downloads,19636
,Jun 2013,Broadband subscribers,12358000
,Jun 2013,Broadband downloads,657262
,Dec 2013,Mobile subscribers,20281000
,Dec 2013,Mobile downloads,27627
,Dec 2013,Broadband subscribers,12397000
,Dec 2013,Broadband downloads,860920
,Jun 2014,Mobile subscribers,20567000
,Jun 2014,Mobile downloads,38734
,Jun 2014,Broadband subscribers,12483000
,Jun 2014,Broadband downloads,996225
,Dec 2014,Mobile subscribers,21032000
,Dec 2014,Mobile downloads,52745
,Dec 2014,Broadband subscribers,12691000
,Dec 2014,Broadband downloads,1146743
,Jun 2015,Mobile subscribers,23652000
,Jun 2015,Mobile downloads,71572
,Jun 2015,Broadband subscribers,12762000
,Jun 2015,Broadband downloads,1388697
,Dec 2015,Mobile subscribers,24235000
,Dec 2015,Mobile downloads,90693
,Dec 2015,Broadband subscribers,12946000
,Dec 2015,Broadband downloads,1714922
,Jun 2016,Mobile subscribers,24818000
,Jun 2016,Mobile downloads,121147
,Jun 2016,Broadband subscribers,13297000
,Jun 2016,Broadband downloads,2097682
,Dec 2016,Mobile subscribers,25457000
,Dec 2016,Mobile downloads,146050
,Dec 2016,Broadband subscribers,13461000
,Dec 2016,Broadband downloads,2587056
,Jun 2017,Mobile subscribers,26330000
,Jun 2017,Mobile downloads,175076
,Jun 2017,Broadband subscribers,13748000
,Jun 2017,Broadband downloads,2995972
,Dec 2017,Mobile subscribers,26694000
,Dec 2017,Mobile downloads,203157
,Dec 2017,Broadband subscribers,14209000
,Dec 2017,Broadband downloads,3586528
,Jun 2018,Mobile subscribers,26981000
,Jun 2018,Mobile downloads,246765
,Jun 2018,Broadband subscribers,14720000
,Jun 2018,Broadband downloads,3837215
